EECR_ID,Release,Epic_ID,Epic_Title,Feature_ID,WP_ID,WP_Title,Priority,Biz_Value,Story_Points,Est_Hours,Sprint,Milestone,Target_Release,Product_Owner,Tech_Lead,Developer,AI_Agent,Reviewer,QA_Owner,EAS_Ref,BRS_Ref,SRS_Ref,HLD_Ref,LLD_Ref,DEF_Ref,Repository,Branch,Commit_Hash,PR_Number,Build_Number,Unit_Test,Integration_Test,Security_Scan,Perf_Test,UAT_Status,Arch_Review,Code_Review,Sec_Review,QA_Review,Doc_Review,Dev_Deploy,Test_Deploy,UAT_Deploy,PreProd_Deploy,Prod_Deploy,Status,Blockers,Risks,ECR_Ref,ADR_Ref,Change_Request,Approval_Date,Approved_By,Merge_Date,Release_Version,Prod_Date,Op_Acceptance,Lessons_Learned,DoD_Arch,DoD_Coding,DoD_Tests,DoD_Security,DoD_Docs,DoD_Review,DoD_CICD,DoD_Merge_Ready
EECR-R01-001-01,R1,EPIC-001,Repository & Engineering Foundation,F-001-01,WP-001-01,Repository Bootstrap,CRITICAL,5,5,8,S1,M1,R1,RE-OS PO,Platform Lead,emmanoff_lab,claude-sonnet-4-6,Enterprise Architect,QA Lead,EAS §2.1,BRS v1.0 Vol.1 Exec Summary,SRS v1.0 Vol.1 §Doc Control,HLD N/A (ECR-001),LLD v2.0 Ch.3 §3.1,DEF Roadmap §Governance,diep-lab,main,f69c194,N/A,N/A,N/A,N/A,PASS,N/A,N/A,APPROVED (98/100),APPROVED,PASS,APPROVED,APPROVED,DEPLOYED,DEPLOYED,N/A,N/A,DEPLOYED,APPROVED,None,RISK-001,None,"ADR-001,ADR-002,ADR-003,ADR-004",None,2026-07-01,Enterprise Architect,2026-07-01,bootstrap-v0.1,2026-07-01,ACCEPTED,CODEOWNERS team slugs are placeholder — replace before WP-001-04 enforces branch protection,PASS,PASS,N/A,PASS,PASS,PASS,N/A,PASS
EECR-R01-001-02,R1,EPIC-001,Repository & Engineering Foundation,F-001-02,WP-001-02,Repository Standards,HIGH,4,5,8,S1,M1,R1,RE-OS PO,Platform Lead,emmanoff_lab,claude-sonnet-4-6,Enterprise Architect,QA Lead,EAS §5.1,BRS v1.0 Vol.1 §Quality,SRS v1.0 §Dev Standards,HLD §Arch Principles,LLD v2.0 Ch.2 (§2.1–§2.7),DEF §Coding Standards,diep-lab,feature/wp-001-02-repository-standards,a2b14e5,—,—,N/A,PASS,PASS,N/A,N/A,PENDING,PENDING,PASS,PENDING,PASS,IN PROGRESS,NOT STARTED,N/A,N/A,NOT STARTED,IN PROGRESS,None,None,None,ADR-001,EECR-CHG-006,,,,,,,,,,PASS,PASS,PASS,PASS,PASS,PENDING,N/A,PENDING
EECR-R01-001-03,R1,EPIC-001,Repository & Engineering Foundation,F-001-03,WP-001-03,Documentation Structure & Templates,HIGH,4,3,6,S1,M1,R1,RE-OS PO,Platform Lead,TBD,TBD,Tech Lead / Architect,QA Lead,EAS §2.2,BRS v1.0 Vol.1 §Governance,SRS v1.0 §Documentation,HLD N/A,LLD v2.0 §3.3,DEF §Documentation,diep-lab,feature/docs-structure,,,,,N/A,N/A,PENDING,N/A,N/A,PENDING,PENDING,PENDING,PENDING,PENDING,NOT STARTED,NOT STARTED,N/A,N/A,NOT STARTED,READY,WP-001-01 must be APPROVED,None,None,ADR-001,None,,,,,,,,,,PENDING,PENDING,N/A,PENDING,PENDING,PENDING,PENDING,PENDING
EECR-R01-001-04,R1,EPIC-001,Repository & Engineering Foundation,F-001-04,WP-001-04,Repository Governance & Branch Protection,HIGH,5,5,8,S1,M1,R1,RE-OS PO,Platform Lead,TBD,TBD,DevSecOps Lead,QA Lead,EAS §6.1,BRS v1.0 Vol.1 §Governance,SRS v1.0 §SDLC,HLD N/A,LLD v2.0 §3.4,DEF §Branching Strategy,diep-lab,feature/repo-governance,,,,,PENDING,PENDING,PENDING,N/A,N/A,PENDING,PENDING,PENDING,PENDING,PENDING,NOT STARTED,NOT STARTED,N/A,N/A,NOT STARTED,READY,WP-001-01 must be APPROVED,RISK-001,None,ADR-004,None,,,,,,,,,,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING
EECR-R01-001-05,R1,EPIC-001,Repository & Engineering Foundation,F-001-02,WP-001-05,Flutter/Dart Coding Standards,MEDIUM,3,3,5,S2,M1,R1,RE-OS PO,Mobile Tech Lead,TBD,TBD,Mobile Lead,QA Lead,EAS §5.2,BRS v1.0 Vol.1 §Quality,SRS v1.0 §Dev Standards,HLD §Mobile Arch,LLD v2.0 §3.2 Dart,DEF §Coding Standards,diep-lab,feature/coding-standards-dart,,,,,PENDING,PENDING,PENDING,N/A,N/A,PENDING,PENDING,PENDING,PENDING,PENDING,NOT STARTED,NOT STARTED,N/A,N/A,NOT STARTED,NOT STARTED,WP-001-02 must be APPROVED,None,None,None,None,,,,,,,,,,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING
EECR-R01-001-06,R1,EPIC-001,Repository & Engineering Foundation,F-001-02,WP-001-06,TypeScript/Next.js Coding Standards,MEDIUM,3,3,5,S2,M1,R1,RE-OS PO,Frontend Tech Lead,TBD,TBD,Frontend Lead,QA Lead,EAS §5.3,BRS v1.0 Vol.1 §Quality,SRS v1.0 §Dev Standards,HLD §Frontend Arch,LLD v2.0 §3.2 TS,DEF §Coding Standards,diep-lab,feature/coding-standards-ts,,,,,PENDING,PENDING,PENDING,N/A,N/A,PENDING,PENDING,PENDING,PENDING,PENDING,NOT STARTED,NOT STARTED,N/A,N/A,NOT STARTED,NOT STARTED,WP-001-02 must be APPROVED,None,None,None,None,,,,,,,,,,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING
EECR-R01-001-07,R1,EPIC-001,Repository & Engineering Foundation,F-001-02,WP-001-07,Terraform/Ansible Coding Standards,MEDIUM,3,3,5,S2,M1,R1,RE-OS PO,Infra Tech Lead,TBD,TBD,Infra Lead,QA Lead,EAS §5.4,BRS v1.0 Vol.1 §Quality,SRS v1.0 §Dev Standards,HLD §Infra Arch,LLD v2.0 §3.2 IaC,DEF §Coding Standards,diep-lab,feature/coding-standards-iac,,,,,PENDING,PENDING,PENDING,N/A,N/A,PENDING,PENDING,PENDING,PENDING,PENDING,NOT STARTED,NOT STARTED,N/A,N/A,NOT STARTED,NOT STARTED,WP-001-02 must be APPROVED,None,None,None,None,,,,,,,,,,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING
EECR-R01-001-08,R1,EPIC-001,Repository & Engineering Foundation,F-001-05,WP-001-08,Pre-commit Hook Configuration,HIGH,4,3,5,S2,M1,R1,RE-OS PO,Platform Lead,TBD,TBD,Tech Lead,QA Lead,EAS §5.1,BRS v1.0 Vol.1 §Quality,SRS v1.0 §SDLC,HLD N/A,LLD v2.0 §3.5,DEF §Pre-commit,diep-lab,feature/pre-commit-hooks,,,,,PENDING,PENDING,PENDING,N/A,N/A,PENDING,PENDING,PENDING,PENDING,PENDING,NOT STARTED,NOT STARTED,N/A,N/A,NOT STARTED,NOT STARTED,"WP-001-02,WP-001-05,WP-001-06,WP-001-07 must be APPROVED",None,None,None,None,,,,,,,,,,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING
EECR-R01-001-09,R1,EPIC-001,Repository & Engineering Foundation,F-001-06,WP-001-09,Build Tooling Bootstrap (Make/Task),MEDIUM,3,3,5,S2,M1,R1,RE-OS PO,Platform Lead,TBD,TBD,Tech Lead,QA Lead,EAS §5.5,BRS v1.0 Vol.1 §Quality,SRS v1.0 §Build,HLD N/A,LLD v2.0 §3.6,DEF §Build Tooling,diep-lab,feature/build-tooling,,,,,PENDING,PENDING,PENDING,N/A,N/A,PENDING,PENDING,PENDING,PENDING,PENDING,NOT STARTED,NOT STARTED,N/A,N/A,NOT STARTED,NOT STARTED,WP-001-04 must be APPROVED,None,None,None,None,,,,,,,,,,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING
EECR-R01-002-01,R1,EPIC-002,Core Infrastructure Stack,F-002-01,WP-002-01,Docker Compose Development Environment,CRITICAL,5,5,10,S2,M2,R1,RE-OS PO,Infra Tech Lead,TBD,TBD,DevSecOps Lead,QA Lead,EAS §3.1,BRS v1.0 Vol.2 §Infra,SRS v1.0 §Infrastructure,HLD §Deployment Arch,LLD v2.0 Ch.4 §4.1,DEF §Dev Environment,diep-lab,feature/docker-compose-dev,,,,,PENDING,PENDING,PENDING,PENDING,N/A,PENDING,PENDING,PENDING,PENDING,PENDING,NOT STARTED,NOT STARTED,NOT STARTED,NOT STARTED,NOT STARTED,NOT STARTED,EPIC-001 complete,RISK-004,None,None,None,,,,,,,,,,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING
EECR-R01-002-02,R1,EPIC-002,Core Infrastructure Stack,F-002-02,WP-002-02,PostgreSQL Schema Bootstrap & TimescaleDB,CRITICAL,5,8,16,S2,M2,R1,RE-OS PO,Backend Tech Lead,TBD,TBD,DBA / Architect,QA Lead,EAS §3.2,BRS v1.0 Vol.2 §Data,SRS v1.0 §Data Storage,HLD §Data Layer,LLD v2.0 §4.2,DEF §Database,diep-lab,feature/postgres-timescale-schema,,,,,PENDING,PENDING,PENDING,PENDING,N/A,PENDING,PENDING,PENDING,PENDING,PENDING,NOT STARTED,NOT STARTED,NOT STARTED,NOT STARTED,NOT STARTED,NOT STARTED,WP-002-01 must be APPROVED,RISK-004,None,None,None,,,,,,,,,,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING
EECR-R01-002-03,R1,EPIC-002,Core Infrastructure Stack,F-002-03,WP-002-03,Redis Cache Configuration,HIGH,4,3,6,S2,M2,R1,RE-OS PO,Backend Tech Lead,TBD,TBD,Tech Lead,QA Lead,EAS §3.3,BRS v1.0 Vol.2 §Infra,SRS v1.0 §Caching,HLD §Cache Layer,LLD v2.0 §4.3,DEF §Caching,diep-lab,feature/redis-config,,,,,PENDING,PENDING,PENDING,N/A,N/A,PENDING,PENDING,PENDING,PENDING,PENDING,NOT STARTED,NOT STARTED,NOT STARTED,NOT STARTED,NOT STARTED,NOT STARTED,WP-002-01 must be APPROVED,None,None,None,None,,,,,,,,,,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING
